Term,GE2016,SavillsU,Relativity,SavillsE
0.25,0.49,,1.18,11.2
0.5,0.97,,2.04,11.8
0.75,1.46,,2.81,12.5
1,1.94,,3.53,13.1
1.25,2.43,,4.21,13.7
1.5,2.92,,4.87,14.3
1.75,3.4,,5.5,14.9
2,3.89,,6.11,15.5
2.25,4.37,,6.71,16.1
2.5,4.86,,7.29,16.6
2.75,5.35,,7.86,17.2
3,5.83,,8.42,17.8
3.25,6.32,,8.97,18.4
3.5,6.8,,9.52,18.9
3.75,7.29,,10.05,19.5
4,7.78,,10.58,20.1
4.25,8.26,,11.1,20.6
4.5,8.74,,11.61,21.2
4.75,9.23,,12.12,21.7
5,9.71,,12.62,22.3
5.25,10.19,,13.12,22.8
5.5,10.68,,13.61,23.4
5.75,11.16,,14.1,23.9
6,11.64,,14.58,24.4
6.25,12.12,,15.06,25
6.5,12.59,,15.53,25.5
6.75,13.07,,16.01,26
7,13.55,,16.47,26.5
7.25,14.02,,16.94,27
7.5,14.49,,17.4,27.5
7.75,14.96,,17.86,28
8,15.43,,18.31,28.6
8.25,15.89,,18.76,29.1
8.5,16.36,,19.21,29.5
8.75,16.82,,19.66,30
9,17.29,,20.1,30.5
9.25,17.75,,20.54,31
9.5,18.21,,20.98,31.5
9.75,18.67,,21.41,32
10,19.13,,21.85,32.4
10.25,19.6,25,22.3,32.9
10.5,20.06,25.4,22.73,33.4
10.75,20.52,25.8,23.16,33.9
11,20.98,26.1,23.54,34.3
11.25,21.43,26.5,23.96,34.8
11.5,21.88,26.9,24.39,35.2
11.75,22.33,27.3,24.81,35.7
12,22.78,27.7,25.24,36.1
12.25,23.22,28.1,25.66,36.6
12.5,23.67,28.5,26.08,37
12.75,24.11,28.8,26.46,37.5
13,24.56,29.2,26.88,37.9
13.25,25,29.6,27.3,38.3
13.5,25.44,30,27.72,38.8
13.75,25.88,30.3,28.09,39.2
14,26.32,30.7,28.51,39.6
14.25,26.76,31.1,28.93,40
14.5,27.2,31.5,29.35,40.4
14.75,27.64,31.8,29.72,40.9
15,28.08,32.2,30.14,41.3
15.25,28.52,32.6,30.56,41.7
15.5,28.96,32.9,30.93,42.1
15.75,29.4,33.3,31.35,42.5
16,29.84,33.6,31.72,42.9
16.25,30.26,34,32.13,43.3
16.5,30.68,34.4,32.54,43.7
16.75,31.1,34.7,32.9,44.1
17,31.53,35.1,33.31,44.5
17.25,31.94,35.4,33.67,44.9
17.5,32.36,35.8,34.08,45.3
17.75,32.78,36.1,34.44,45.6
18,33.19,36.5,34.85,46
18.25,33.61,36.8,35.2,46.4
18.5,34.02,37.1,35.56,46.8
18.75,34.43,37.5,35.96,47.1
19,34.84,37.8,36.32,47.5
19.25,35.25,38.2,36.73,47.9
19.5,35.66,38.5,37.08,48.2
19.75,36.08,38.8,37.44,48.6
20,36.49,39.2,37.84,49
20.25,36.9,39.5,38.2,49.3
20.5,37.31,39.8,38.56,49.7
20.75,37.73,40.2,38.96,50
21,38.14,40.5,39.32,50.4
21.25,38.53,40.8,39.66,50.7
21.5,38.92,41.2,40.06,51.1
21.75,39.31,41.5,40.4,51.4
22,39.7,41.8,40.75,51.7
22.25,40.08,42.1,41.09,52.1
22.5,40.46,42.5,41.48,52.4
22.75,40.84,42.8,41.82,52.7
23,41.23,43.1,42.16,53.1
23.25,41.6,43.4,42.5,53.4
23.5,41.98,43.7,42.84,53.7
23.75,42.35,44,43.17,54
24,42.72,44.4,43.56,54.4
24.25,43.1,44.7,43.9,54.7
24.5,43.48,45,44.24,55
24.75,43.86,45.3,44.58,55.3
25,44.24,45.6,44.92,55.6
25.25,44.62,45.9,45.26,55.9
25.5,44.99,46.2,45.6,56.2
25.75,45.37,46.5,45.94,56.6
26,45.75,46.8,46.27,56.9
26.25,46.1,47.1,46.6,57.2
26.5,46.45,47.4,46.92,57.5
26.75,46.79,47.7,47.25,57.8
27,47.14,48,47.57,58
27.25,47.48,48.3,47.89,58.3
27.5,47.82,48.6,48.21,58.6
27.75,48.16,48.9,48.53,58.9
28,48.5,49.2,48.85,59.2
28.25,48.83,49.5,49.16,59.5
28.5,49.16,49.8,49.48,59.8
28.75,49.49,50.1,49.79,60.1
29,49.81,50.3,50.06,60.3
29.25,50.15,50.6,50.37,60.6
29.5,50.48,50.9,50.69,60.9
29.75,50.81,51.2,51,61.2
30,51.14,51.5,51.32,61.4
30.25,51.47,52,51.73,61.7
30.5,51.8,52.3,52.05,62
30.75,52.13,52.6,52.36,62.2
31,52.46,52.9,52.68,62.5
31.25,52.76,53.2,52.98,62.8
31.5,53.06,53.4,53.23,63
31.75,53.36,53.7,53.53,63.3
32,53.66,54,53.83,63.5
32.25,53.95,54.2,54.07,63.8
32.5,54.24,54.5,54.37,64
32.75,54.53,54.8,54.66,64.3
33,54.82,55.1,54.96,64.5
33.25,55.1,55.3,55.2,64.8
33.5,55.38,55.6,55.49,65
33.75,55.66,55.8,55.73,65.3
34,55.94,56.1,56.02,65.5
34.25,56.22,56.4,56.31,65.8
34.5,56.49,56.6,56.55,66
34.75,56.77,56.9,56.84,66.2
35,57.05,57.2,57.13,66.5
35.25,57.33,57.4,57.37,66.7
35.5,57.61,57.7,57.65,66.9
35.75,57.89,57.9,57.89,67.2
36,58.17,58.2,58.18,67.4
36.25,58.42,58.4,58.41,67.6
36.5,58.68,58.7,58.69,67.9
36.75,58.93,58.9,58.91,68.1
37,59.18,59.2,59.19,68.3
37.25,59.43,59.4,59.41,68.5
37.5,59.68,59.7,59.69,68.7
37.75,59.92,59.9,59.91,69
38,60.17,60.2,60.18,69.2
38.25,60.41,60.4,60.4,69.4
38.5,60.65,60.7,60.67,69.6
38.75,60.88,60.9,60.89,69.8
39,61.12,61.1,61.11,70
39.25,61.35,61.4,61.37,70.2
39.5,61.57,61.6,61.58,70.4
39.75,61.79,61.9,61.85,70.7
40,62.02,62.1,62.06,70.9
40.25,62.24,62.3,62.27,71.1
40.5,62.46,62.6,62.53,71.3
40.75,62.69,62.8,62.74,71.5
41,62.91,63.1,63,71.7
41.25,63.13,63.3,63.22,71.9
41.5,63.36,63.5,63.43,72.1
41.75,63.58,63.7,63.64,72.3
42,63.8,64,63.9,72.4
42.25,64.02,64.2,64.11,72.6
42.5,64.24,64.4,64.32,72.8
42.75,64.46,64.7,64.58,73
43,64.68,64.9,64.79,73.2
43.25,64.9,65.1,65,73.4
43.5,65.11,65.3,65.21,73.6
43.75,65.33,65.6,65.46,73.8
44,65.55,65.8,65.67,73.9
44.25,65.75,66,65.88,74.1
44.5,65.96,66.2,66.08,74.3
44.75,66.16,66.5,66.33,74.5
45,66.37,66.7,66.54,74.7
45.25,66.58,66.9,66.74,74.8
45.5,66.78,67.1,66.94,75
45.75,66.99,67.3,67.14,75.2
46,67.19,67.5,67.35,75.4
46.25,67.4,67.8,67.6,75.5
46.5,67.61,68,67.81,75.7
46.75,67.82,68.2,68.01,75.9
47,68.03,68.4,68.21,76
47.25,68.24,68.6,68.42,76.2
47.5,68.44,68.8,68.62,76.4
47.75,68.65,69,68.83,76.5
48,68.86,69.2,69.03,76.7
48.25,69.06,69.4,69.23,76.9
48.5,69.27,69.6,69.43,77
48.75,69.48,69.9,69.69,77.2
49,69.68,70.1,69.89,77.4
49.25,69.88,70.3,70.09,77.5
49.5,70.09,70.5,70.29,77.7
49.75,70.29,70.7,70.49,77.8
50,70.49,70.9,70.7,78
50.25,70.7,71.1,70.9,78.1
50.5,70.9,71.3,71.1,78.3
50.75,71.1,71.5,71.3,78.4
51,71.31,71.7,71.5,78.6
